id,name,label,superclass,classification,subclass,family,distribution,designer,weight,rg,extra condensed,compressed,condensed,wide,extra wide,display,caption,soft,character,cap48,x48,xheight,counter,adjust,about,history,usage,whattheysay,link,pairing,google,stylesheet,100 Greatest Fonts,Google Ranking,Typewolf Google,Typewolf Adobe,100 Greatest Score,Google Ranking Score,Typewolf Google Score,Typewolf Adobe Score,Good Fonts Table,Score,Quality,Utility,Underrated Boost,In Use Boost,Rating,Year,Vibe,inuse,status
1,Acumin Variable,Acumin Pro,Sans,Grotesque,NeoGrotesque,Acumin,Adobe,Robert Slimbach,100..900;100..900i,100..900;100..900i,,,,,,,,,0,33.5,24.5,1.37,40%,1,,"Acumin is a neo-grotesque designed by Robert Slimbach in 2015 for Adobe Originals. It is designed to be a more readable neo-grotesque than others in this class, and is a popular choice for publishing and articles. It appears to be closer to Unica than Helvetica in its overall weight and appearance. ","Acumin is a little underrated compared to the other neo-grotesques. It comes in a variable weight and also comes in a range of widths, so there is plenty of scope to tweak this font to meet your needs. It shines when used for body copy, but is bold enough at heavier weights for display sizes and branding too.","Acumin is a versatile sans-serif typeface family intended for a balanced and rational quality. Solidly neo-grotesque, it performs beautifully at display sizes but also maintains an exceptional degree of sensitivity for text sizes.",https://fonts.adobe.com/fonts/acumin-variable,Times;,Inter,rvi6wdt,,,,3,,,,22,15,37,10,9,,10,137,2015,Neutral,Behance;Billboard,
2,Adelle,Adelle,Serif,Slab,Slab,Adelle,Adobe,José Scaglione;Veronika Burian;TypeTogether,100;100i;300;300i;400;400i;600;600i;700;700i;800;800i;900;900i;200;200i,100;100i;300;300i;400;400i;600;600i;700;700i;800;800i;900;900i;200;200i,,,100;100i;300;300i;400;400i;600;600i;700;700i;800;800i;900;900i;200;200i,,,,,,4,35,25,1.40,36%,1.04477611940299,"<br/>  A flexible and personable world-ready sans font family, providing true multilingual font support.<br/><br/><br/>","An interesting twist on the humanist sans. The letterforms are unusual enough to be interesting at large sizes but can dial it back enough to be useable at smaller sizes. Looks good next to contemporary serif and slabs, and even some of the quirkier grotesques.",,,https://fonts.adobe.com/fonts/adelle-sans,Frutiger;Blake;,Source Sans 3,ulo4ekj,,,,,,,,,15,15,9,8,,5,92,2009,Quirky,University of Texas Press,
3,Adelle Mono,Adelle Mono,Mono,HumanistMono,Mono,Adelle,Adobe,José Scaglione;Veronika Burian;TypeTogether,300;300i;400;400i;500;500i;700;700i;800;800i,300;300i;400;400i;500;500i;700;700i;800;800i,,,,,,,,,4,35,25,1.40,,1.04477611940299,A flexible two-width family: monospace for developer’s code writing and proportional width for reading.,,,,https://fonts.adobe.com/fonts/adelle-mono,Frutiger;Slab;Questa,PT Mono,wff4skl,,,,,,,,,,0,9,5,,,45,2009,Quirky,,REMOVE
4,Adelle Sans,Adelle Sans,Sans,Humanist,Frutiger,Adelle,Adobe,José Scaglione;Veronika Burian;TypeTogether,100;100i;300;300i;400;400i;600;600i;700;700i;800;800i;900;900i,100;100i;300;300i;400;400i;600;600i;700;700i;800;800i;900;900i,,,100;100i;300;300i;400;400i;600;600i;700;700i;800;800i;900;900i,,,,,,4,35,25,1.40,51%,1.04477611940299,<br/>  A versatile and authoritative slab serif font family with no shortage of personality.<br/><br/><br/>,,,,https://fonts.adobe.com/fonts/adelle,Questa;Times;Slab;,Bitter,zsx1doa,,,,,,,,,15,15,9,9,,5,101,2009,Quirky,The American Scholar,
5,Adobe Caslon Pro,Adobe Caslon Pro,Serif,Old Style,Caslon,,Adobe,Carol Twombly;Adobe Originals;William Caslon I,400;400i;600;600i;700;700i,400;400i;600;600i;700;700i,,,,,,,,,5,34,20,1.70,60%,1.01492537313433,,"Caslon is a modern interpretation of the old-style serif typefaces designed by William Caslon in the 18th Century, with his first designs released in 1722. After falling out of fashion in the 19th Century, Caslon’s typefaces were revived by the Arts & Crafts movement and they have been consistently popular ever since. Carol Twombly designed Adobe Caslon Pro for Adobe Originals in 1990, a new version based on William Caslon’s specimen pages.","Compared to Garamond, Caslon is slightly underused in digital applications. Its proportions are generous and it looks great for long-form copy. It came later than the other old-style serifs and has some of the features that nod towards transitional serifs - its vertical stress has less of an angle, its counters are a little rounder and there is a slightly more contrast in the stroke widths. If you are looking for a serif that is more modern than most old-styles or something with a little more character than a transitional then Caslon is a great choice.","Because of their remarkable practicality, Caslon’s designs were met with instant success. Caslon’s types became popular throughout Europe and the American colonies; printer Benjamin Franklin hardly used any other typeface",https://fonts.adobe.com/fonts/adobe-caslon,Johnston;Optima;,Libre Caslon Text,mxh6wbn,47,,,,3,,,,15,21,10,8,,15,116,1725,Elegant,New Yorker;The American Scholar;Lapham’s Quarterly,
6,Adobe Garamond Pro,Adobe Garamond Pro,Serif,Old Style,Garamond,,Adobe,Claude Garamond;Robert Slimbach;Robert Granjon,400;400i;600;600i;700;700i,400;400i;600;600i;700;700i,,,,,,,,,3,32,19,1.68,79%,0.955223880597015,,"Garamond is old style typeface with a long history. With roman characters designed by Claude Garamond in the 16th Century, it is usually combined with italics designed by Robert Granjon to create a complete typeface. Despite its age, it has been surprisingly prominent in the digital era - a version was used by Apple for their branding  for almost 20 years - and Adobe released this version of the typeface in 1989.","Where old-style fonts were once difficult to render on screens, on retinal displays Garamond looks equally good at display sizes or for smaller body copy and is a great choice for long-form articles. If the brand calls for it, you can even use it for form controls like buttons and input fields, although it isn’t usually appropriate for business applications.",The beauty and balance of the original Garamond typefaces while creating a typeface family that offers all the advantages of a contemporary digital type family.,https://fonts.adobe.com/fonts/adobe-garamond,Frutiger;Johnston;,EB Garamond,ysg3ymc,2,,,,17,,,,,34,10,10,10,15,159,1530,Elegant,The Atlantic;Vogue;Guggenheim,
7,Aktiv Grotesk,Aktiv Grotesk,Sans,Grotesque,NeoGrotesque,,Adobe,Dalton Maag,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,,,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,extended-200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,,,,,0,34,25,1.36,36%,1.01492537313433,<br/>  <br/><br/><br/>,"Aktiv Grotesk is a grotesque sans designed by Dalton Maag and released in 2010. Designed as a “Helvetica killer”, it combines a features from Helvetica, Univers and other neo-grotesques.","True to its name, Aktiv has a some of the energy that is missing from the neo-grotesque class. Its letter forms feel compact and slightly squared off and its letter spacing is a slightly wider than Helvetica. There is a slight angle to the end of many of the strokes and this adds to the overall sense of dynamism. It also comes in a range of weights and widths.","Aktiv Grotesk takes an authoritative but neutral position, supporting any message without overpowering it. A flexible and diverse family of 24 styles with matching italics, from Hairline to Black.",https://fonts.adobe.com/fonts/aktiv-grotesk,Times;MetaSerif;Slab;,Inter,qja7gba,,,,37,,,,5,,5,10,9,,15,110,2010,Neutral,Invision;IndieWire;WeTransfer,
8,Alverata,Alverata,Serif,Contemporary,Glyphic,,Adobe,Gerard Unger;TypeTogether,300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,,,,,,,,,8,34,27,1.26,,1.01492537313433,"A contemporary, eclectic font family drawn from roots in Romanesque Europe.",,,,https://fonts.adobe.com/fonts/alverata,Optima;Futura;Neuzeit;Garamond;Caslon;,,lrn0wju,,,,,,,,7,,7,10,8,,,87,2014,Elegant,,REVIEW
9,Balto,Balto,Sans,Grotesque,Franklin,,Adobe,Tal Leming;Type Supply,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,,,,,,,,,3,33.5,23.5,1.43,36%,1,,Balto is a grotesque sans designed by Tal Leming and released in 2013. It is a modern gothic in the style of Franklin and comes in a range of weights.,"As a modern variation of a gothic, Balto has been designed for screens and UI components so might be a better choice than the older styles for functional applications. And in a class that is often a little stuffy, Balto seems fun and an energy to its letter forms. There is a bit of disparity in the overall color - the bolds come in dark and the regular weight comes in light - so experiment with weights.",Balto is an American Gothic built for the 21st Century. It has a rhythmic typographic texture that pronounces any message with a confident and approachable tone of voice.,https://fonts.adobe.com/fonts/balto,Meta;MetaSerif;Times;Slab;,Libre Franklin,bja5yow,,,,,,,,,,0,9,9,15,15,111,2013,Quirky,Vox;The Ringer;Deadline,
10,Barlow,Barlow,Sans,Geometric,DIN,,Google,Jeremy Tribby,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,,Condensed-100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,Semi Condensed-100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,,,,,,3,33.5,24.5,1.37,42%,1,"<br/>Barlow is a slightly rounded, low-contrast, grotesk type family.<br/>Drawing from the visual style of the California public, Barlow shares qualities with the state's car plates, highway signs, busses, and trains.<br/><br/><br/>This is the Normal family, which is part of the superfamily along with<br/>Semi Condensed and<br/>Condensed,<br/>each with 9 weights in Roman and Italic.<br/><br/><br/><br/>The Barlow project is led by Jeremy Tribby, a designer based in San Francisco, USA.<br/>To contribute, see github.com/jpt/barlow<br/><br/><br/>Updated December 2018: Added Vietnamese.<br/>","A free variant on the DIN geometric sans serif. Its a little closer to a grotesque than DIN and makes a great choice when you need something a little less geometric. Is light in overall colour so not great for body copy, but fits in with a range of contemporary and slab serifs.",,,https://fonts.google.com/specimen/Barlow,Meta;MetaSerif;Slab;,,,,18,,,,36,,,,12,8,8,10,10,96,2017,Technical,Unbounce;code.org,
